,labels,predicted
0,6,6
1,1,1
2,3,3
3,4,4
4,6,6
5,3,3
6,0,0
7,4,4
8,3,3
9,2,2
10,4,2
11,0,6
12,10,10
13,3,3
14,5,5
15,8,8
16,3,3
17,8,8
18,3,3
19,10,10
20,1,1
21,6,6
22,7,7
23,1,1
24,10,10
25,4,4
26,6,6
27,0,0
28,11,11
29,5,6
30,5,5
31,5,5
32,10,10
33,9,1
34,7,7
35,6,6
36,10,10
37,9,3
38,10,10
39,4,4
40,6,6
41,0,6
42,9,9
43,6,6
44,6,6
45,1,1
46,6,0
47,8,3
48,6,5
49,6,6
50,11,11
51,7,7
52,5,6
53,3,8
54,11,11
55,1,1
56,11,11
57,6,0
58,1,1
59,10,10
60,5,5
61,8,8
62,6,6
63,0,6
64,6,6
65,10,10
66,6,6
67,6,6
68,2,2
69,10,10
70,0,6
71,3,3
72,1,1
73,10,10
74,5,5
75,3,3
76,8,3
77,7,3
78,3,10
79,2,2
80,5,5
81,8,8
82,8,8
83,7,7
84,10,10
85,2,2
86,6,6
87,8,8
88,5,1
89,3,10
90,6,6
91,10,10
92,10,10
93,3,3
94,6,6
95,5,5
96,2,2
97,10,10
98,1,1
99,11,11
100,11,11
101,6,6
102,8,9
103,3,3
104,8,8
105,6,6
106,11,11
107,2,2
108,6,3
109,10,10
110,4,0
111,0,0
112,11,11
113,4,0
114,6,5
115,11,11
116,8,8
117,9,6
118,3,3
119,11,11
120,7,7
121,0,0
122,4,0
123,10,10
124,5,5
125,6,6
126,7,7
127,7,7
128,1,1
129,6,6
130,9,9
131,8,3
132,2,5
133,3,3
134,1,1
135,8,3
136,6,6
137,8,8
138,10,10
139,1,1
140,5,5
141,6,6
142,11,11
143,6,6
144,1,1
145,10,10
146,10,10
147,3,3
148,8,8
149,4,4
150,3,3
151,11,11
152,3,3
153,0,0
154,11,3
155,5,5
156,6,0
157,3,3
158,4,6
159,6,6
160,8,8
161,5,5
162,1,1
163,8,8
164,8,3
165,1,1
166,1,1
167,5,5
168,2,2
169,8,8
170,6,6
171,10,10
172,3,3
173,9,9
174,10,10
175,5,5
176,8,8
177,6,6
178,3,3
179,7,7
180,6,0
181,10,10
182,8,8
183,6,6
184,8,8
185,6,6
186,3,3
187,8,8
188,3,3
189,8,2
190,10,10
191,11,11
192,0,11
193,2,2
194,0,6
195,0,0
196,1,1
197,1,1
198,11,11
199,0,6
200,6,6
201,10,10
202,10,10
203,11,11
204,1,1
205,0,0
206,5,10
207,8,8
208,0,0
209,5,5
210,5,5
211,7,7
212,11,11
213,8,8
214,8,8
215,9,9
216,10,10
217,8,8
218,5,5
219,5,5
220,8,8
221,3,3
222,7,7
223,6,6
224,5,5
225,6,8
226,6,6
227,3,3
228,5,5
229,6,6
230,8,8
231,1,1
232,8,3
233,11,11
234,4,4
235,2,2
236,1,1
237,11,11
238,4,4
239,8,8
240,6,6
241,5,5
242,10,10
243,10,10
244,10,10
245,3,3
246,6,6
247,11,11
248,2,2
249,6,6
250,11,11
251,3,3
252,5,5
253,8,8
254,5,5
255,10,10
256,10,10
257,8,8
258,4,4
259,7,3
260,8,8
261,7,7
262,4,4
263,10,10
264,5,5
265,5,5
266,5,5
267,10,10
268,3,6
269,11,11
270,10,10
271,5,5
272,6,6
273,5,5
274,6,0
275,11,11
276,0,6
277,6,6
278,9,3
279,3,3
280,3,3
281,1,1
282,2,2
283,6,6
284,1,1
285,2,2
286,7,7
287,9,3
288,8,8
289,8,8
290,4,4
291,9,5
292,6,6
293,5,5
294,6,3
295,8,8
296,3,3
297,8,8
298,1,1
299,1,1
300,4,4
301,5,5
302,4,4
303,11,11
304,11,11
305,10,10
306,1,1
307,3,3
308,2,2
309,11,11
310,3,8
311,7,7
312,10,3
313,5,5
314,3,3
315,8,9
316,8,8
317,1,10
318,1,1
319,3,3
320,3,3
321,1,1
322,5,5
323,8,8
324,10,10
325,11,11
326,11,5
327,6,6
328,1,1
329,2,2
330,3,9
331,2,2
332,3,3
333,7,7
334,1,1
335,5,5
336,8,8
337,5,5
338,0,6
339,4,6
340,6,6
341,0,6
342,9,2
343,3,3
344,0,6
345,5,5
346,6,6
347,10,10
348,11,11
349,10,10
350,7,1
351,1,1
352,11,11
353,9,9
354,5,10
355,1,1
356,11,11
357,7,7
358,8,8
359,5,5
360,8,8
361,2,2
362,8,8
363,8,8
364,6,0
365,2,9
366,2,2
367,3,5
368,6,6
369,5,5
370,6,6
371,5,5
372,5,5
373,3,3
374,11,11
375,2,2
376,2,9
377,5,5
378,5,5
379,2,2
380,1,1
381,11,11
382,8,8
383,6,6
384,6,6
385,6,6
386,11,11
387,7,7
388,1,1
389,2,2
390,4,4
391,11,11
392,2,2
393,7,5
394,8,8
395,6,6
396,6,0
397,3,3
398,8,9
399,9,8
400,8,8
401,10,10
402,1,1
403,3,3
404,10,10
405,5,5
406,5,5
407,10,10
408,2,2
409,6,6
410,11,11
411,3,3
412,8,8
413,5,5
414,8,8
415,8,8
416,11,11
417,6,6
418,11,11
419,5,5
420,8,8
421,2,2
422,1,1
423,6,6
424,6,6
425,3,3
426,11,11
427,1,1
428,9,9
429,0,0
430,6,6
431,8,8
432,5,8
433,10,10
434,0,0
435,8,8
436,5,5
437,11,11
438,10,10
439,10,10
440,2,2
441,6,6
442,6,6
443,10,10
444,10,10
445,2,2
446,6,6
447,5,5
448,11,11
449,10,10
450,10,10
451,11,11
452,11,11
453,8,8
454,6,6
455,10,10
456,9,9
457,11,5
458,6,6
459,5,5
460,5,5
461,3,3
462,2,2
463,9,9
464,10,10
465,10,10
466,11,11
467,0,6
468,8,8
469,2,2
470,6,0
471,11,11
472,3,3
473,9,9
474,1,1
475,0,6
476,3,3
477,10,10
478,6,6
479,10,10
480,11,11
481,3,3
482,10,10
483,8,8
484,9,9
485,3,3
486,9,9
487,4,4
488,8,8
489,5,5
490,6,6
491,3,3
492,6,6
493,1,1
494,4,4
495,7,7
496,7,7
497,3,3
498,2,2
499,11,11
500,9,3
501,6,6
502,7,7
503,9,3
504,9,9
505,6,6
506,8,8
507,10,10
508,0,0
509,5,5
510,1,1
511,3,3
512,0,6
513,7,7
514,8,9
515,6,6
516,11,11
517,6,6
518,10,10
519,11,5
520,2,2
521,10,10
522,6,6
523,8,8
524,11,7
525,8,8
526,11,11
527,4,4
528,5,5
529,2,10
530,3,3
531,3,3
532,1,3
533,0,2
534,2,2
535,6,6
536,5,6
537,1,1
538,11,11
539,1,1
540,5,5
541,10,10
542,5,5
543,2,2
544,1,1
545,8,3
546,9,9
547,6,6
548,0,8
549,4,4
550,6,6
551,3,3
552,5,5
553,1,5
554,6,6
555,5,5
556,3,3
557,10,10
558,9,9
559,6,6
560,6,6
561,6,6
562,10,6
563,11,11
564,1,1
565,5,5
566,10,10
567,6,6
568,2,2
569,9,8
570,6,6
571,7,3
572,6,6
573,8,8
574,10,10
575,6,6
576,3,3
577,11,5
578,10,10
579,3,3
580,10,10
581,6,6
582,3,3
583,8,8
584,1,1
585,8,8
586,10,10
587,4,4
588,1,1
589,10,10
590,3,3
591,4,4
592,2,2
593,8,8
594,2,2
595,1,1
596,3,3
597,8,9
598,5,5
599,8,8
600,2,2
601,3,11
602,6,0
603,3,3
604,8,8
605,3,3
606,2,2
607,2,2
608,2,2
609,7,6
610,1,11
611,0,0
612,3,3
613,10,10
614,10,10
615,2,2
616,0,6
617,8,6
618,5,3
619,6,6
620,8,8
621,6,6
622,10,10
623,11,11
624,5,5
625,8,2
626,5,5
627,6,6
628,8,8
629,10,10
630,3,3
631,6,6
632,3,3
633,5,5
634,4,4
635,10,10
636,6,0
637,7,7
638,6,0
639,3,3
640,3,3
641,2,2
642,7,7
643,3,3
644,8,8
645,8,8
646,10,10
647,8,8
648,11,11
649,4,4
650,9,3
651,5,5
652,11,11
653,6,6
654,1,1
655,6,6
656,2,5
657,3,3
658,5,5
659,5,5
660,10,10
661,9,9
662,6,6
663,4,5
664,11,11
665,0,0
666,9,9
667,11,11
668,11,11
669,6,0
670,4,4
671,10,10
672,8,8
673,10,10
674,5,5
675,5,5
676,10,10
677,6,6
678,6,6
679,3,3
680,1,1
681,7,7
682,3,3
683,10,10
684,4,6
685,11,11
686,5,1
687,5,5
688,5,11
689,6,6
690,2,2
691,3,3
692,5,5
693,8,8
694,2,2
695,2,2
696,3,3
697,2,2
698,11,11
699,4,4
700,8,8
701,5,5
702,0,0
703,6,6
704,8,8
705,6,4
706,0,0
707,11,11
708,10,10
709,5,5
710,11,11
711,1,1
712,6,6
713,8,8
714,8,8
715,6,6
716,8,8
717,5,5
718,0,0
719,6,6
720,5,5
721,7,7
722,6,6
723,9,3
724,7,7
725,3,3
726,0,6
727,10,10
728,2,2
729,2,2
730,11,11
731,10,10
732,5,5
733,1,1
734,0,0
735,7,7
736,5,5
737,6,6
738,6,6
739,0,0
740,10,10
741,6,6
742,0,0
743,10,10
744,10,10
745,4,4
746,0,6
747,1,1
748,4,4
749,6,6
750,1,1
751,7,7
752,11,11
753,8,8
754,10,10
755,3,3
756,6,6
757,9,3
758,10,10
759,6,6
760,2,2
761,6,6
762,6,6
763,10,10
764,2,2
765,11,11
766,8,8
767,11,11
768,9,3
769,10,10
770,0,6
771,0,6
772,11,11
773,5,5
774,5,5
775,3,3
776,2,2
777,5,5
778,1,1
779,1,1
780,6,2
781,3,3
782,6,6
783,1,1
784,10,10
785,10,10
786,9,3
787,7,7
788,7,7
789,3,3
790,7,7
791,4,4
792,8,8
793,11,11
794,3,3
795,10,10
796,11,11
797,10,10
798,6,6
799,8,8
800,0,6
801,0,0
802,10,10
803,2,2
804,5,1
805,2,2
806,10,10
807,10,10
808,8,8
809,3,3
810,10,10
811,7,7
812,5,5
813,8,8
814,6,6
815,4,0
816,3,3
817,8,8
818,5,5
819,8,8
820,4,4
821,2,2
822,6,0
823,8,8
824,3,3
825,8,8
826,1,1
827,9,9
828,1,1
829,7,7
830,8,8
831,4,0
832,5,5
833,9,9
834,6,6
835,0,6
836,6,6
837,3,3
838,1,1
839,6,0
840,5,5
841,6,6
842,7,1
843,10,10
844,11,11
845,9,8
846,4,4
847,10,10
848,4,4
849,10,10
850,11,11
851,7,7
852,0,6
853,8,8
854,9,8
855,3,3
856,5,5
857,1,1
858,6,6
859,11,11
860,9,9
861,4,4
862,9,9
863,9,8
864,9,11
865,9,3
866,5,5
867,11,11
868,5,5
869,0,6
870,8,8
871,11,11
872,9,9
873,8,8
874,7,7
875,8,9
876,3,3
877,5,5
878,1,1
879,8,8
880,6,6
881,8,8
882,8,8
883,8,8
884,1,3
885,6,6
886,3,3
887,6,6
888,8,8
889,3,3
890,3,3
891,3,3
892,8,8
893,10,10
894,10,10
895,8,8
896,4,5
897,2,2
898,6,6
899,10,10
900,3,3
901,8,8
902,11,11
903,6,6
904,1,1
905,11,11
906,9,9
907,5,11
908,5,5
909,1,1
910,2,2
911,8,8
912,1,8
913,6,0
914,2,2
915,5,5
916,3,3
917,3,3
918,11,11
919,1,1
920,3,3
921,10,10
922,6,8
923,3,3
924,6,6
925,3,3
926,10,10
927,1,1
928,8,8
929,10,10
930,5,5
931,5,5
932,8,7
933,1,1
934,8,8
935,10,10
936,2,2
937,10,10
938,6,6
939,1,1
940,4,4
941,8,8
942,7,7
943,11,11
944,9,9
945,9,9
946,5,5
947,8,8
948,0,0
949,6,6
950,11,11
951,4,4
952,10,10
953,4,4
954,8,8
955,1,1
956,8,8
957,9,9
958,0,0
959,11,11
960,0,0
961,5,5
962,7,8
963,8,8
964,2,2
965,8,8
966,3,3
967,1,9
968,2,2
969,3,8
970,5,5
971,3,3
972,5,5
973,6,6
974,5,5
975,6,6
976,2,2
977,3,3
978,1,1
979,11,11
980,4,4
981,10,10
982,8,6
983,3,3
984,0,0
985,10,10
986,10,10
987,8,8
988,11,11
989,3,3
990,6,6
991,6,6
992,11,11
993,6,6
994,3,3
995,7,5
996,10,10
997,8,8
998,5,5
999,6,6
1000,11,11
1001,7,7
1002,11,3
1003,11,8
1004,0,0
1005,6,6
1006,1,1
1007,3,3
1008,2,2
1009,3,3
1010,6,6
1011,3,8
1012,11,11
1013,5,5
1014,8,6
1015,9,9
1016,8,8
1017,9,9
1018,9,9
1019,10,10
1020,5,5
1021,6,6
1022,10,10
1023,10,10
1024,6,6
1025,0,0
1026,1,1
1027,2,2
1028,11,11
1029,3,3
1030,3,3
1031,6,6
